trajectory	seed_lineage	persistence_saved_frames	persistence_ns	first_persistent_direction	first_persistent_start_ns	opposite_direction_departure_candidate	opposite_departure_start_ns	return_candidate	return_start_ns	strict_core_frames
R46A_ES09_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	61.0	False		False		1
R46A_ES10_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES10_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES10_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES11_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	124.0	False		False		0
R46A_ES11_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	216.0	False		False		0
R46A_ES11_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	518.0	False		False		0
R46A_ES12_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES12_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES12_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES13_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES13_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES13_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES14_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	25.0	True	621.0	False		0
R46A_ES14_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	25.0	True	671.0	False		0
R46A_ES14_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	671.0	False		False		0
R46A_ES15_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	21.0	True	115.0	False		0
R46A_ES15_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	21.0	True	115.0	False		0
R46A_ES15_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	115.0	False		False		0
R46A_ES16_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	True	402.0	False		0
R46A_ES16_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	True	402.0	False		0
R46A_ES16_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	True	402.0	False		0
R46A_ES17_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	True	580.0	False		0
R46A_ES17_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	True	605.0	False		0
