file,format,bins,first_axis_value,last_axis_value,axis_step_as_stored,axis_unit,counts_sum,maximum_count,zero_bins,normalized_or_corrected
60-86/60-86_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,23416926,100004,346,False
60-86/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
60-86/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
60-86/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
60-86/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-119/69-119_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,31624749,100007,347,False
69-119/69-119_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,20055589,100003,349,False
69-119/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-119/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-119/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-119/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-132/69-132_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,31396864,100001,349,False
69-132/69-132_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,18801204,100001,348,False
69-132/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-132/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-132/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-132/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-150/69-150_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,31961090,100003,350,False
